label,group,nseqs,sobs,coverage,bergerparker,chao,shannon,simpson
0.03,36_1_Swab,6146,882,0.943541,0.051904,1203.02139,5.396487,0.013489
0.03,36_2_Swab,10138,349,0.986881,0.108009,500.344828,3.829777,0.043853
0.03,36_3_Swab,13721,382,0.990161,0.101159,496.493671,3.912396,0.037298
0.03,36_4_Swab,8022,1095,0.945649,0.065819,1616.043956,5.605696,0.012814
0.03,36_5_Swab,8759,384,0.982646,0.091106,569.096774,3.945187,0.040931
0.03,36_6_Swab,7864,1106,0.953204,0.053026,1435.404878,5.869029,0.008649
0.03,36_AL_1,11132,1177,0.964068,0.086238,1603.737968,5.634852,0.014543
0.03,36_AL_2,12951,1126,0.971894,0.107559,1468.310881,5.287942,0.022348
0.03,36_AL_3,11305,1135,0.963025,0.155772,1633.017143,5.142579,0.036419
0.03,36_AL_4,9274,1030,0.962799,0.073215,1365.254237,5.531046,0.013876
0.03,36_AL_5,9232,1057,0.958297,0.095971,1432.228426,5.407096,0.019196
0.03,36_AL_6,8803,1079,0.95831,0.061116,1434.349206,5.684946,0.011411
0.03,36_AS_1,12767,1118,0.973369,0.063445,1482.746835,5.610732,0.012648
0.03,36_AS_2,13086,1174,0.972413,0.101483,1523.354839,5.55622,0.017368
0.03,36_AS_3,15491,1210,0.978504,0.058421,1520.550562,5.778236,0.009577
0.03,36_AS_4,9618,1074,0.96309,0.063423,1411.822581,5.717494,0.010356
0.03,36_AS_5,11829,1145,0.970834,0.05495,1437.315271,5.771248,0.009118
0.03,36_AS_6,12129,1091,0.975266,0.061176,1345.829545,5.651767,0.01119
0.03,36_VL_1,13462,1176,0.973852,0.07354,1492.8,5.636572,0.012754
0.03,36_VL_2,15786,1179,0.976815,0.15007,1560.685714,5.195211,0.031114
0.03,36_VL_3,16756,1236,0.976367,0.123657,1680.375,5.222488,0.026246
0.03,36_VL_4,14129,1304,0.97261,0.079907,1637.441964,5.657922,0.014465
0.03,36_VL_5,18237,1334,0.978725,0.096946,1676.821918,5.438656,0.019793
0.03,36_VL_6,8277,1024,0.95566,0.068986,1405.596591,5.523142,0.013965
0.03,36_VS_1,17403,1250,0.980233,0.144803,1555.678756,5.415671,0.027056
0.03,36_VS_2,15015,1231,0.977889,0.043556,1505.73,5.802863,0.008536
0.03,36_VS_3,15174,1223,0.978845,0.048899,1490.5,5.827023,0.00837
0.03,36_VS_4,8231,992,0.961973,0.053942,1261.767956,5.722648,0.009275
0.03,36_VS_5,9360,1044,0.964209,0.048504,1387.220859,5.697084,0.009651
0.03,36_VS_6,9231,1055,0.962626,0.049182,1414.636364,5.722603,0.009387
0.03,38_1_Swab,15208,1249,0.973632,0.210021,1646.029703,5.067771,0.051136
0.03,38_2_Swab,10382,277,0.990272,0.181853,391.772727,3.367058,0.080082
0.03,38_3_Swab,11472,330,0.987884,0.185408,514.442308,3.40977,0.076814
0.03,38_4_Swab,16527,1366,0.97495,0.15986,1731.346154,5.365825,0.033012
0.03,38_5_Swab,8161,463,0.973165,0.136625,740.569767,3.886739,0.049074
0.03,38_6_Swab,7493,993,0.945282,0.132657,1446.216216,5.095051,0.033585
0.03,38_AL_1,20796,1381,0.978938,0.109588,1850.132353,5.473005,0.019195
0.03,38_AL_2,12517,1173,0.969881,0.147479,1564.58011,5.39473,0.027663
0.03,38_AL_3,11814,1177,0.966057,0.147875,1572.073892,5.365236,0.028155
0.03,38_AL_4,10319,1054,0.965888,0.142068,1361.343284,5.263712,0.028326
0.03,38_AL_5,12126,1112,0.96792,0.143081,1456.593607,5.172411,0.029361
0.03,38_AL_6,13114,1136,0.96988,0.110188,1541.286458,5.315781,0.021159
0.03,38_AS_1,12277,1073,0.974261,0.152073,1332.21875,5.213962,0.032581
0.03,38_AS_2,13782,1012,0.97874,0.232187,1248.342541,4.809529,0.061228
0.03,38_AS_3,11109,1083,0.970654,0.091547,1361.815789,5.494072,0.018007
0.03,38_AS_4,23960,1440,0.985559,0.085643,1713.784404,5.692085,0.013843
0.03,38_AS_4_PCRNeg,13,8,0.615385,0.230769,13,1.95126,0.089744
0.03,38_AS_5,9903,1034,0.966172,0.089367,1369,5.554558,0.014955
0.03,38_AS_6,10746,1054,0.968267,0.086265,1376.055556,5.532233,0.014475
0.03,38_VL_1,13829,1199,0.970424,0.10854,1620.393939,5.418141,0.019589
0.03,38_VL_2,19138,1399,0.9768,0.14014,1858.560748,5.373283,0.027071
0.03,38_VL_3,13906,1152,0.971523,0.167554,1565.809524,5.06929,0.036536
0.03,38_VL_4,13506,1215,0.969791,0.152229,1638.612245,5.239601,0.031759
0.03,38_VL_5,13177,1194,0.968506,0.113911,1641.421875,5.414301,0.020457
0.03,38_VL_6,11999,1134,0.966914,0.110176,1549.904762,5.403389,0.020145
0.03,38_VS_1,14223,1175,0.973775,0.159812,1530.784615,5.176143,0.035732
0.03,38_VS_2,13123,1152,0.974853,0.074678,1411.736842,5.554277,0.014692
0.03,38_VS_3,12498,1143,0.970155,0.089774,1534.966102,5.595554,0.01456
0.03,38_VS_4,6517,875,0.949517,0.090993,1229.973684,5.480297,0.015727
0.03,38_VS_5,7969,962,0.957711,0.0773,1291.162791,5.575469,0.012705
0.03,38_VS_6,8110,970,0.958816,0.076572,1275.554945,5.525192,0.013885
0.03,41_1_Swab,11772,1196,0.966955,0.077557,1610.648352,5.562302,0.017294
0.03,41_2_Swab,11801,1107,0.96907,0.203796,1486.6,5.001773,0.051209
0.03,41_3_Swab,7396,284,0.983775,0.137101,476.972973,3.533016,0.062647
0.03,41_4_Swab,11280,433,0.981383,0.192376,742.084507,3.442462,0.0824
0.03,41_5_Swab,11130,1176,0.966667,0.150674,1510.804878,5.406987,0.02924
0.03,41_6_Swab,5996,412,0.966311,0.187125,686.337838,3.632958,0.075787
0.03,41_AL_1,14413,1167,0.9719,0.061403,1659.831325,5.465256,0.014404
0.03,41_AL_2,13873,1177,0.97232,0.05435,1592.457627,5.627302,0.011448
0.03,41_AL_3,13802,1229,0.971526,0.089045,1634.410526,5.6084,0.015605
0.03,41_AL_4,11768,1222,0.9638,0.079198,1637.252294,5.634223,0.014252
0.03,41_AL_5,11592,1058,0.969807,0.072895,1393.576923,5.411801,0.017665
0.03,41_AL_6,10333,1082,0.96245,0.06426,1542.601227,5.609482,0.012657
0.03,41_AS_1,9423,875,0.968269,0.260957,1143.379518,4.595039,0.076101
0.03,41_AS_2,9527,1022,0.962003,0.147686,1362.317708,5.1989,0.031654
0.03,41_AS_3,7767,877,0.958028,0.180121,1237.37415,4.94894,0.042037
0.03,41_AS_4,8598,924,0.964876,0.059549,1211.664557,5.468165,0.013538
0.03,41_AS_5,7506,923,0.959899,0.056621,1160.631579,5.50154,0.013365
0.03,41_AS_6,6157,795,0.952899,0.063505,1103.125,5.3749,0.014508
0.03,41_VL_1,150,97,0.526667,0.06,252.3125,4.350606,0.011275
0.03,41_VL_2,19357,1327,0.980834,0.058222,1634.780269,5.621127,0.012411
0.03,41_VL_3,17534,1291,0.97713,0.09205,1696.050505,5.540965,0.017146
0.03,41_VL_4,14635,1196,0.973078,0.078579,1577.384236,5.410073,0.018669
0.03,41_VL_5,16156,1238,0.977903,0.0718,1513.090909,5.588733,0.013997
0.03,41_VL_6,8865,977,0.961196,0.059898,1338.93865,5.489577,0.014168
0.03,41_VS_1,9858,948,0.966423,0.251369,1236.968254,4.699956,0.070412
0.03,41_VS_2,10475,965,0.967542,0.258998,1308.035714,4.701694,0.073841
0.03,41_VS_3,11773,1077,0.969931,0.048756,1436.086207,5.553641,0.01238
0.03,41_VS_4,8725,916,0.966304,0.093868,1157.97191,5.229528,0.020904
0.03,41_VS_5,8225,941,0.960851,0.061155,1248.625,5.497392,0.01316
0.03,41_VS_6,3959,653,0.937863,0.081081,872.963504,5.197351,0.019046
0.03,43_1_Swab,3619,452,0.931749,0.170489,836.56962,3.981585,0.067651
0.03,43_2_Swab,13274,403,0.988624,0.113756,577.230769,3.83845,0.046181
0.03,43_3_Swab,8068,465,0.970997,0.110436,904.693548,4.119766,0.037418
0.03,43_4_Swab,9372,546,0.975245,0.08376,831.06383,4.359039,0.03003
0.03,43_5_Swab,9550,472,0.976649,0.126178,802.04,3.978939,0.046198
0.03,43_6_Swab,5024,401,0.962978,0.108678,654.014706,4.211124,0.037305
0.03,43_AL_1,19529,1314,0.98131,0.081673,1659.989583,5.592484,0.01491
0.03,43_AL_2,19356,1254,0.980161,0.129727,1623.527638,5.168063,0.028704
0.03,43_AL_3,18581,1312,0.979226,0.097411,1678.034483,5.466401,0.018367
0.03,43_AL_4,21706,1393,0.980835,0.081498,1796.364486,5.528145,0.016406
0.03,43_AL_5,9429,1057,0.959062,0.099162,1489.005814,5.429364,0.019555
0.03,43_AL_6,12515,1066,0.971474,0.112345,1415.153846,5.22057,0.024351
0.03,43_AS_1,9714,983,0.968499,0.069899,1300.44898,5.518367,0.013384
0.03,43_AS_2,13231,1133,0.975134,0.06054,1426.23913,5.652247,0.011019
0.03,43_AS_3,11599,1042,0.974222,0.063281,1305.615385,5.602712,0.011637
0.03,43_AS_4,10579,998,0.971453,0.074771,1283.855346,5.479965,0.014374
0.03,43_AS_5,8457,887,0.966182,0.081471,1158.7,5.413998,0.015232
0.03,43_AS_6,6165,802,0.953447,0.073155,1089,5.40175,0.0147
0.03,43_VL_1,8474,959,0.960349,0.088624,1300.090909,5.431116,0.016851
0.03,43_VL_2,14251,1099,0.972423,0.125535,1605.763158,5.092011,0.029824
0.03,43_VL_3,10574,1014,0.968697,0.101286,1326.085714,5.345872,0.019257
0.03,43_VL_4,7673,966,0.955819,0.076111,1291.517045,5.540329,0.014977
0.03,43_VL_5,8924,939,0.961564,0.101412,1298.834356,5.273314,0.021577
0.03,43_VL_6,18530,1278,0.978305,0.103238,1669.26699,5.331283,0.02201
0.03,43_VS_1,11572,994,0.976754,0.082786,1196.505618,5.432047,0.01561
0.03,43_VS_2,11400,1072,0.972105,0.068772,1365.040698,5.618712,0.012329
0.03,43_VS_3,10437,997,0.972214,0.073968,1252.518293,5.584251,0.012749
0.03,43_VS_4,10747,1040,0.97255,0.069043,1263.530928,5.572872,0.012913
0.03,43_VS_5,9596,981,0.968424,0.066903,1247.005814,5.56023,0.012381
0.03,43_VS_6,7905,878,0.962935,0.080329,1157.594771,5.401411,0.015428
0.03,48_1_Swab,17536,1285,0.976391,0.053091,1696.014423,5.554994,0.01254
0.03,48_2_Swab,10868,463,0.981045,0.130015,714.369048,3.920866,0.048155
0.03,48_3_Swab,13608,387,0.98883,0.179233,581.508475,3.510652,0.07151
0.03,48_4_Swab,15372,1325,0.973979,0.043326,1732.142857,5.786501,0.009737
0.03,48_5_Swab,9048,1139,0.959107,0.043988,1482.040201,5.885111,0.007637
0.03,48_6_Swab,7011,852,0.952503,0.245471,1210.948052,4.781323,0.066291
0.03,48_AL_1,20028,1308,0.979529,0.065608,1746.979058,5.521852,0.014854
0.03,48_AL_2,25172,1464,0.984507,0.062013,1869.641711,5.757449,0.011045
0.03,48_AL_3,19705,1453,0.978686,0.074956,1830.639485,5.865292,0.010342
0.03,48_AL_4,22679,1408,0.98223,0.072931,1760.186957,5.611986,0.014288
0.03,48_AL_5,19663,1287,0.980166,0.096933,1608.419492,5.41357,0.018819
0.03,48_AL_6,25998,1376,0.984883,0.058312,1796.918033,5.435932,0.014746
0.03,48_AS_1,10637,922,0.972737,0.199398,1149.744565,4.869284,0.048729
0.03,48_AS_2,15010,1123,0.98028,0.056163,1337.019608,5.536573,0.012293
0.03,48_AS_3,10245,1012,0.970425,0.070571,1255.367021,5.553544,0.014056
0.03,48_AS_4,10514,962,0.969279,0.094731,1318.184932,5.183609,0.023487
0.03,48_AS_5,10448,952,0.971861,0.090639,1192.620112,5.310562,0.019498
0.03,48_AS_6,9442,870,0.970028,0.077526,1136.02,5.198897,0.019461
0.03,48_VL_1,39335,1606,0.98945,0.057176,1981.131004,5.580389,0.012645
0.03,48_VL_2,29883,1543,0.986447,0.063012,1928.896226,5.773045,0.010905
0.03,48_VL_3,21371,1491,0.980207,0.089795,1861.344398,5.837485,0.012449
0.03,48_VL_4,23554,1433,0.982254,0.094464,1811.926087,5.519,0.018401
0.03,48_VL_5,24454,1456,0.982661,0.076838,1863.618182,5.657908,0.012922
0.03,48_VL_6,17437,1221,0.976257,0.054769,1704,5.440772,0.014521
0.03,48_VS_1,13129,955,0.975703,0.187371,1276.018987,4.82034,0.045589
0.03,48_VS_2,14624,1115,0.976409,0.111803,1474.636364,5.329537,0.02183
0.03,48_VS_3,11666,1068,0.970598,0.066347,1392.049724,5.488853,0.014687
0.03,48_VS_4,9483,941,0.966888,0.068966,1270.805369,5.461933,0.014854
0.03,48_VS_5,12209,992,0.973298,0.083791,1319.006173,5.248324,0.019513
0.03,48_VS_6,10135,936,0.96961,0.080414,1215.751479,5.181012,0.02105
0.03,53_1_Swab,11037,1284,0.960315,0.025097,1709.346667,5.986634,0.006167
0.03,53_2_Swab,10689,861,0.964917,0.123211,1304.829114,4.265117,0.048381
0.03,53_3_Swab,10843,365,0.985152,0.203173,671.666667,3.444445,0.081143
0.03,53_4_Swab,19775,1422,0.980278,0.039545,1821.236842,5.935364,0.006946
0.03,53_5_Swab,14125,1223,0.973097,0.055434,1656.795181,5.654536,0.011325
0.03,53_6_Swab,7615,287,0.978726,0.310046,533.056604,2.067258,0.226547
0.03,53_AL_1,17817,1284,0.978448,0.060672,1663.051546,5.634557,0.011657
0.03,53_AL_2,20321,1311,0.982186,0.052458,1636.079602,5.616973,0.010963
0.03,53_AL_3,16292,1269,0.974527,0.085563,1674.212264,5.413107,0.01874
0.03,53_AL_4,14856,1208,0.975498,0.065092,1530.273171,5.58752,0.012358
0.03,53_AL_5,13618,1125,0.973932,0.061536,1453.979058,5.44474,0.014096
0.03,53_AL_6,17343,1277,0.97734,0.063887,1680.287958,5.534514,0.013269
0.03,53_AS_1,214655,2257,0.998453,0.042608,2475.908367,5.638897,0.01128
0.03,53_AS_2,16024,1239,0.977534,0.044309,1612.526012,5.7453,0.009254
0.03,53_AS_3,18622,1236,0.982923,0.043282,1502.68254,5.673113,0.009625
0.03,53_AS_4,18698,1234,0.983153,0.041341,1523.210526,5.683033,0.009795
0.03,53_AS_5,16588,1181,0.979986,0.036532,1494.977143,5.665098,0.009319
0.03,53_AS_6,13448,1065,0.976056,0.053763,1360.32,5.481456,0.012422
0.03,53_VL_1,17031,1260,0.977453,0.051201,1643,5.701778,0.009475
0.03,53_VL_2,18173,1278,0.9792,0.07247,1596.09375,5.538395,0.013482
0.03,53_VL_3,15902,1192,0.975789,0.098667,1561.6,5.172609,0.025885
0.03,53_VL_4,12536,1188,0.968092,0.051292,1589.005025,5.631619,0.011058
0.03,53_VL_5,15976,1169,0.975526,0.089259,1599.762712,5.25864,0.021394
0.03,53_VL_6,14521,1160,0.97328,0.067144,1609.568862,5.46175,0.014385
0.03,53_VS_1,16059,1153,0.981381,0.044835,1389.973404,5.509005,0.012956
0.03,53_VS_2,21653,1346,0.985221,0.043504,1591.384615,5.748237,0.009392
0.03,53_VS_3,12759,1104,0.974136,0.03425,1491.75,5.708734,0.008613
0.03,53_VS_4,13531,1059,0.978494,0.046486,1298.744318,5.572168,0.010767
0.03,53_VS_5,15084,1101,0.980642,0.03812,1339.685393,5.621132,0.009725
0.03,53_VS_6,9034,950,0.967678,0.036197,1202.892857,5.581673,0.009769
0.03,59_1_Swab,576,240,0.756944,0.048611,427.115385,4.981886,0.010356
0.03,59_2_Swab,7655,1020,0.951796,0.065186,1403.59322,5.584975,0.012494
0.03,59_3_Swab,10070,699,0.967329,0.15283,1160.162393,4.148851,0.051675
0.03,59_4_Swab,8808,1088,0.957652,0.057107,1505.939759,5.731857,0.010239
0.03,59_5_Swab,7813,338,0.980161,0.142455,572.019608,3.693713,0.059301
0.03,59_6_Swab,2684,522,0.889344,0.154247,1064.666667,4.699434,0.037436
0.03,59_AL_1,15667,1244,0.976511,0.080998,1593.88601,5.594183,0.014694
0.03,59_AL_2,21217,1444,0.980487,0.064524,1845.366197,5.726763,0.01231
0.03,59_AL_3,11519,1100,0.967792,0.106086,1448.401015,5.288697,0.021933
0.03,59_AL_4,16163,1279,0.975128,0.10425,1637.226667,5.309033,0.024067
0.03,59_AL_5,13140,1120,0.973364,0.090487,1438.098958,5.242838,0.021467
0.03,59_AL_6,11287,1017,0.968016,0.073359,1390.448276,5.343959,0.01713
0.03,59_AS_1,6654,861,0.955515,0.066276,1137.329114,5.474259,0.014387
0.03,59_AS_2,7320,865,0.960246,0.066393,1138.993506,5.32571,0.018289
0.03,59_AS_3,8024,918,0.963609,0.060568,1173.939759,5.455974,0.014282
0.03,59_AS_4,9404,950,0.968418,0.068801,1204.080925,5.48777,0.014331
0.03,59_AS_5,6769,805,0.959078,0.063377,1090.268657,5.348427,0.015279
0.03,59_AS_6,6924,859,0.956384,0.065425,1162.006667,5.388541,0.015764
0.03,59_VL_1,20395,1372,0.980485,0.09517,1746.421801,5.496154,0.018643
0.03,59_VL_2,18282,1262,0.981512,0.062849,1552.576531,5.653798,0.011855
0.03,59_VL_3,15957,1241,0.975121,0.141004,1654.715789,5.247125,0.031395
0.03,59_VL_4,12946,1141,0.972115,0.087363,1488.486631,5.458105,0.01836
0.03,59_VL_5,15904,1237,0.975101,0.087148,1666.725275,5.44159,0.017719
0.03,59_VL_6,9615,993,0.964951,0.061986,1320.260116,5.490954,0.013608
0.03,59_VS_1,23405,1341,0.985687,0.062764,1577.054852,5.424384,0.017358
0.03,59_VS_2,12399,1085,0.974111,0.063392,1345.71066,5.419511,0.016459
0.03,59_VS_3,12233,1101,0.974822,0.0618,1355.182796,5.592986,0.01276
0.03,59_VS_4,9981,986,0.965535,0.070233,1374.131579,5.415362,0.015972
0.03,59_VS_5,8312,918,0.961381,0.063643,1233.092025,5.392044,0.015859
0.03,59_VS_6,7255,877,0.960028,0.058305,1135.67284,5.502864,0.013008
0.03,69_1_Swab,7292,697,0.968459,0.074877,899.576923,5.210452,0.014353
0.03,69_2_Swab,9912,767,0.976695,0.053571,981.233871,5.291958,0.012291
0.03,69_3_Swab,9727,676,0.96741,0.175182,1073.507937,4.011471,0.062583
0.03,69_4_Swab,10861,789,0.977811,0.050272,1022.225806,5.32609,0.011468
0.03,69_5_Swab,8488,399,0.979265,0.149976,647.387097,3.727862,0.060054
0.03,69_6_Swab,5583,662,0.952893,0.106215,981.009259,5.094405,0.021123
0.03,69_AL_1,11693,755,0.978278,0.085521,1029.623932,4.869933,0.023604
0.03,69_AL_2,16364,892,0.983561,0.07932,1129.144737,5.003524,0.021291
0.03,69_AL_3,10894,865,0.972829,0.10951,1162.006803,5.028006,0.025618
0.03,69_AL_4,11385,813,0.977251,0.088538,1084.634146,4.984055,0.023633
0.03,69_AL_5,11965,848,0.975763,0.103385,1188.691057,5.017579,0.024786
0.03,69_AL_6,12063,795,0.978861,0.089696,1079.078947,4.958284,0.023516
0.03,69_AS_1,9621,618,0.980459,0.062468,790.333333,4.855399,0.020518
0.03,69_AS_2,12786,730,0.98209,0.096199,988.475248,4.871178,0.023684
0.03,69_AS_3,10739,713,0.978676,0.057547,944.026549,5.05009,0.016989
0.03,69_AS_4,12967,725,0.984191,0.066862,888.359375,5.017192,0.017213
0.03,69_AS_5,11744,745,0.98016,0.066076,968.371901,5.036932,0.018037
0.03,69_AS_6,11518,726,0.978903,0.07701,977.307692,4.892246,0.022194
0.03,69_VL_1,14158,833,0.980576,0.087583,1118.416667,4.902784,0.024988
0.03,69_VL_2,13998,824,0.980997,0.072367,1091.007576,4.989683,0.020103
0.03,69_VL_3,13867,837,0.977645,0.169179,1226.390244,4.498538,0.052978
0.03,69_VL_4,13323,856,0.978984,0.112963,1151.909091,4.861422,0.03091
0.03,69_VL_5,15596,895,0.981662,0.098807,1178.020833,5.039611,0.022906
0.03,69_VL_6,10906,717,0.979553,0.108656,942.027273,4.917486,0.024456
0.03,69_VS_1,7630,558,0.973919,0.124902,761.103093,4.619969,0.031342
0.03,69_VS_2,8950,625,0.976648,0.094972,840.207921,4.761275,0.0254
0.03,69_VS_3,8817,658,0.975502,0.059544,897.381443,5.001749,0.017792
0.03,69_VS_4,9303,680,0.978609,0.063313,841.483607,5.104972,0.015053
0.03,69_VS_5,10899,716,0.979631,0.065419,939.009091,5.087998,0.016882
0.03,69_VS_6,8484,638,0.976544,0.064239,835.01,5.028717,0.017652
0.03,LiquidExtNeg1,53,42,0.377358,0.075472,100.666667,3.656414,0.01016
0.03,LiquidExtNeg2,69,58,0.26087,0.086957,240.142857,3.957754,0.008951
0.03,LiquidPCRNeg1,19,14,0.368421,0.210526,80,2.479122,0.052632
0.03,SolidExtNeg1,7,7,0,0.142857,28,1.94591,0
0.03,SolidExtNeg2,6,6,0,0.166667,21,1.791759,0
0.03,SolidPCRNeg1,6,6,0,0.166667,21,1.791759,0
0.03,SwabExtNeg,5,5,0,0.2,15,1.609438,0
0.03,SwabPCRNeg1,5,3,0.8,0.4,3,1.05492,0.2
